Honorific,Salutation,Post Nominals,Surname,Image ,First Name,Preferred Name,Email,Facebook,Twitter,Other,Electorate,State,Telephone,Fax,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate Postal Address,Electorate Postal Suburb,Electorate Postal State,Electorate Postal Postcode,Parliamental and Ministerial Titles
Mr,Mr,MP,Keogh,/images/mps/10861.jpg,Matt,Matt,Matt.Keogh.MP@aph.gov.au,http://www.facebook.com/ KeoghMatthew,http://twitter.com/mattkeogh,,Burt,WA,(02) 6277 2200,(02) 6277 8513,"Unit 2, 2808 Albany Highway",,Kelmscott,WA,6111,(08) 9390 0180,(08) 9390 0201,PO Box 465,Kelmscott,WA,6991,Shadow Minister for Defence IndustryShadow Minister for Western Australian ResourcesShadow Minister Assisting for Small and Family Business
Mr,Mr,MP,Khalil,/images/mps/10887.jpg,Peter,Peter,Peter.Khalil.MP@aph.gov.au,http://www.facebook.com/PeterKhalilMP,http://twitter.com/PeterKhalilMP,,Wills,VIC,(02) 6277 4857,(02) 6277 8444,1/240 Sydney Road,,Coburg,VIC,3058,(03) 9350 5777,,1/240 Sydney Road,Coburg,VIC,3058,Ê
Hon,Ms,MP,King,/images/mps/10368.jpg,Catherine,,Catherine.King.MP@aph.gov.au,http://www.facebook.com/CatherineKingMP,http://twitter.com/CatherineKingMP,,Ballarat,VIC,(02) 6277 4407,(02) 6277 4889,5 Lydiard Street North,,Ballarat,VIC,3350,(03) 5338 8123,,PO Box 719,Ballarat,VIC,3353,"Shadow Minister for Infrastructure, Transport and Regional Development"
Ms,Ms,MP,King,/images/mps/10884.jpg,Madeleine,Madeleine,Madeleine.King.MP@aph.gov.au,https://www.facebook.com/madeleinekingmp,https://twitter.com/MadeleineMHKing,,Brand,WA,(02) 6277 4354,(02) 6277 8438,"Units 4 and 5, 95 Chalgrove Ave",,Rockingham,WA,6168,(08) 9527 9377,,PO Box 5062,Rockingham Beach,WA,6969,Shadow Minister for Trade
Mr,Mr,MP,Laming,/images/mps/10377.jpg,Andrew,,,http://www.facebook.com/profile.php?id=100000494042921,http://twitter.com/AndrewLamingMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=E0H,Bowman,QLD,(02) 6277 4258,(02) 6277 8503,10/32 Middle Street,,Cleveland,QLD,4163,(07) 3821 0155,(07) 3821 3799,PO Box 8024,Cleveland,QLD,4163,Ê
Hon,Ms,MP,Landry,/images/mps/10789.jpg,Michelle,Michelle,,https://www.facebook.com/MichelleLandryMP,,/Senators_and_Members/Contact_Senator_or_Member?MPID=249764,Capricornia,QLD,(02) 6277 4283,(02) 6277 8566,3/71-73 Denham Street,,Rockhampton,QLD,4700,(07) 4922 6604,(07) 4922 6607,PO Box 1919,Rockhampton,QLD,4700,Assistant Minister for Northern Australia
Mr,Mr,MP,Leeser,/images/mps/10888.jpg,Julian,Julian,Julian.Leeser.MP@aph.gov.au,https://www.facebook.com/JulianLeeserMP/,,,Berowra,NSW,(02) 6277 4826,(02) 6277 8547,"Level 11, 423 Pennant Hills Road",,Pennant Hills,NSW,2120,(02) 9980 1822,(02) 9980 1833,PO Box 743,Pennant Hills,NSW,1715,Ê
Hon Dr,Dr,MP,Leigh,/images/mps/10746.jpg,Andrew,,Andrew.Leigh.MP@aph.gov.au,http://www.facebook.com/pages/Andrew-Leigh-MP/129819533748295,https://twitter.com/ALEIGHMP,,Fenner,ACT,(02) 6277 4140,(02) 6277 8469,"Shop G&H, 33 Hibberson Street",,Gungahlin,ACT,2912,(02) 6247 4396,(02) 6247 3457,"Shop G&H, 33 Hibberson Street ",Gungahlin,ACT,2912,Shadow Assistant Minister for TreasuryShadow Assistant Minister for Charities
Hon,Ms,MP,Ley,/images/mps/10387.jpg,Sussan,,,http://www.facebook.com/pages/Sussan-Ley-MP/198830586850988,http://twitter.com/sussanley,,Farrer,NSW,(02) 6277 7920,,517 Kiewa Street,,Albury,NSW,2640,(02) 6021 3264,(02) 6021 6620,PO Box 672,Albury,NSW,2640,Minister for the Environment
Hon,Mr,MP,Littleproud,/images/mps/10890.jpg,David,David,David.Littleproud.MP@aph.gov.au,https://www.facebook.com/david.littleproud.1,https://twitter.com/D_LittleproudMP,,Maranoa,QLD,(02) 6277 7190,,"T40-42, Dalby Shopping World",17-67 Cunningham Street,Dalby,QLD,4405,(07) 4662 2715,,PO Box 641,DALBY,QLD,4405,"Minister for Agriculture, Drought and Emergency Management"
Ms,Ms,MP,Liu,/images/mps/10920.jpg,Gladys,Gladys,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=282918,Chisholm,VIC,(02) 6277 4155,(02) 6277 8411,"Level 1, 140 Burwood Highway",,Burwood,VIC,3125,(03) 9808 3188,,PO Box 102,Burwood,VIC,3125,Ê
Hon,Mrs,MP,Marino,/images/mps/10416.jpg,Nola,,Nola.Marino.MP@aph.gov.au,http://www.facebook.com/nola.marino.mp,http://twitter.com/#!/NolaMarinoMP,,Forrest,WA,(02) 6277 4293,(02) 6277 8424,Units 7 & 8 Grand Cinemas Complex,Corner of Victoria and Clifton Streets,Bunbury,WA,6230,(08) 9721 3788,(08) 9721 4911,PO Box 2028,Bunbury,WA,6231,Assistant Minister for Regional Development and Territories
Hon,Mr,MP,Marles,/images/mps/10418.jpg,Richard,,,https://www.facebook.com/richardmarlesmp,https://twitter.com/RichardMarlesMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=HWQ,Corio,VIC,(02) 6277 4330,(02) 6277 8599,17A Yarra Street,,Geelong,VIC,3220,(03) 5221 3033,(03) 5222 4505,17A Yarra Street ,Geelong,VIC,3220,Shadow Minister for DefenceDeputy Leader of the Opposition
Dr,Dr,MP,Martin,/images/mps/10937.jpg,Fiona,Fiona,Fiona.Martin.MP@aph.gov.au,https://www.facebook.com/FionaMartinmp,https://twitter.com/FionaMartinMP,,Reid,NSW,(02) 6277 4156,(02) 6277 8415,72 Burwood Road,,Burwood,NSW,2134,(02) 9715 7444,(02) 9745 2825,PO Box 2028,Burwood North,NSW,2134,Ê
Ms,Ms,MP,McBain,/images/mps/10960.jpg,Kristy,Kristy,Kristy.McBain.MP@aph.gov.au,https://www.facebook.com/kristymcbainlabor,http://twitter.com/KristyMcBain,,Eden-Monaro,NSW,(02) 6277 4600,(02) 6277 8499,1/21-25 Monaro Street,,Queanbeyan,NSW,2620,(02) 6284 2442,,PO Box 214,Queanbeyan,NSW,2620,Ê
Ms,Ms,MP,McBride,/images/mps/10864.jpg,Emma,Emma,Emma.McBride.MP@aph.gov.au,https://www.facebook.com/mcbrideemma,,,Dobell,NSW,(02) 6277 4515,(02) 6277 8441,"Suite 204, Level 2 Mariners Centre of Excellence",1 Bryant Drive,Tuggerah,NSW,2259,(02) 4353 0127,(02) 4353 0248,PO Box 3763,Tuggerah,NSW,2259,Shadow Assistant Minister for Mental HealthShadow Assistant Minister for Carers
Hon,Mr,MP,McCormack,/images/mps/10743.jpg,Michael,Michael,, https://www.facebook.com/MichaelMcCormackMP,http://twitter.com/M_McCormackMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=219646,Riverina,NSW,(02) 6277 7520,(02) 6273 4120,Suite 2,11-15 Fitzmaurice Street,Wagga Wagga,NSW,2650,(02) 6921 4600,(02) 6921 5900,"Suite 2, 11-15 Fitzmaurice Street",Wagga Wagga,NSW,2650,"Leader of the NationalsDeputy Prime Minister and Minister for Infrastructure, Transport and Regional Development"
Mrs,Mrs,MP,McIntosh,/images/mps/10932.jpg,Melissa,Melissa,,,,,Lindsay,NSW,(02) 6277 4492,(02) 6277 8479,Ground Floor,331 High Street,Penrith,NSW,2750,(02) 4722 0600,,PO Box 712,Penrith,NSW,2750,Ê
Hon Dr,Dr,MP,McVeigh,/images/mps/10889.jpg,John,John,,https://www.facebook.com/johnmcveighmp,https://twitter.com/johnjmcveigh,/Senators_and_Members/Contact_Senator_or_Member?MPID=125865,Groom,QLD,(02) 6277 4277,(02) 6277 8564,516 Ruthven Street,,Toowoomba,QLD,4350,(07) 4632 4144,,PO Box 777,Toowoomba,QLD,4350,Ê
Mr,Mr,MP,Mitchell,/images/mps/10871.jpg,Brian,Brian,,https://www.facebook.com/brianmitchellforlyons2016,https://twitter.com/brianmitchellmp,,Lyons,TAS,(02) 6277 4270,(02) 6277 8422,"Suite 105, Green Point Plaza",,Bridgewater,TAS,7030,(03) 6263 3721,,PO Box 61,Bridgewater,TAS,7030,Ê
Mr,Mr,MP,Mitchell,/images/mps/10733.jpg,Robert,Rob,,http://www.facebook.com/pages/Rob-Mitchell-MP-Federal-Labor-Member-for-McEwen/113830088678537,http://twitter.com/#!/RobMitchellMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=M3E,McEwen,VIC,(02) 6277 4117,(02) 6277 8443,57-59 High Street,,Wallan,VIC,3756,(03) 5716 3000,,PO Box 380,Wallan,VIC,3756,Ê
Hon,Mr,MP,Morrison,/images/mps/10468.jpg,Scott,Scott,,http://www.facebook.com/pages/Scott-Morrison/101546263223119,http://twitter.com/ScottMorrisonMP,,Cook,NSW,(02) 6277 7700,(02) 6273 4100,"Suite 102, Level 1",30 The Kingsway,Cronulla,NSW,2230,(02) 9523 0339,(02) 9523 8959,PO Box 1306,Cronulla,NSW,2230,Prime MinisterMinister for the Public Service
Hon,Mr,MP,Morton,/images/mps/10886.jpg,Ben,Ben,Ben.Morton.MP@aph.gov.au,https://www.facebook.com/BenMortonAU,,/Senators_and_Members/Contact_Senator_or_Member?MPID=265931,Tangney,WA,(02) 6277 2035,(02) 6277 8420,6 Aveley Street,,Willetton,WA,6155,(08) 9354 9633,,PO Box 329,Willetton,WA,6155,Assistant Minister to the Prime Minister and Cabinet
Dr,Dr,MP,Mulino,/images/mps/10925.jpg,Daniel,Daniel,Daniel.Mulino.MP@aph.gov.au,https://www.facebook.com/daniel.mulino.1,,,Fraser,VIC,(02) 6277 4311,,Shop M0004 80 Taylors Road,,Keilor Downs,VIC,3038,(03) 9070 1974,,Shop M0004 80 Taylors Road,Keilor Downs,VIC,3038,Ê
Ms,Ms,MP,Murphy,/images/mps/10924.jpg,Peta,Peta,,,,,Dunkley,VIC,(02) 6277 4370,(02) 6277 8445,37 Playne Street,,Frankston,VIC,3199,(03) 9781 2333,,37 Playne Street,Frankston,VIC,3199,Ê
Hon,Mr,MP,Neumann,/images/mps/10485.jpg,Shayne,,Shayne.Neumann.MP@aph.gov.au,https://www.facebook.com/shayne.neumann,http://twitter.com/ShayneNeumannMP,,Blair,QLD,(02) 6277 4755,(02) 6277 8533,"Level 1, The Tarpaulin Building",2 The Terrace,North Ipswich,QLD,4305,(07) 3201 5300,,PO Box 2579,North Ipswich LPO,QLD,4305,Shadow Minister for Veterans' Affairs and Defence Personnel
Mr,Mr,MP,O'Brien,/images/mps/10866.jpg,Edward,Ted,ted.obrien.mp@aph.gov.au,,,,Fairfax,QLD,(02) 6277 4130,(02) 6277 8410,17 Southern Drive,,Maroochydore,QLD,4558,(07) 5479 2800,(07) 5443 5333,PO Box 1978,Sunshine Plaza,QLD,4558,Ê
Mr,Mr,MP,O'Brien,/images/mps/10892.jpg,Llewellyn,Llew,,,,,Wide Bay,QLD,(02) 6277 2301,(02) 6277 8550,319 Kent Street,,Maryborough,QLD,4650,(07) 4121 2936,,PO Box 283,Maryborough,QLD,4650,Ê
Hon,Mr,MP,O'Connor,/images/mps/10496.jpg,Brendan,,Brendan.O'Connor.MP@aph.gov.au,https://www.facebook.com/pages/Brendan-OConnor-MP/287789063686?sk=info,,,Gorton,VIC,(02) 6277 4105,(02) 6277 2286,"Shop 3, 11 Commercial Road",,Caroline Springs,VIC,3023,(03) 8390 6166,,"Shop 3, 11 Commercial Road",Caroline Springs,VIC,3023,Shadow Minister for Employment and IndustryShadow Minister for ScienceShadow Minister for Small and Family Business
Mr,Mr,MP,O'Dowd,/images/mps/10728.jpg,Kenneth,Ken,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=139441,Flynn,QLD,(02) 6277 4380,(02) 6277 8495,76 Goondoon Street,,Gladstone,QLD,4680,(07) 4972 5465,(07) 4972 0888,76 Goondoon Street ,Gladstone,QLD,4720,Ê
Ms,Ms,MP,O'Neil,/images/mps/10814.jpg,Clare,,Clare.ONeil.MP@aph.gov.au,https://www.facebook.com/ClareforHotham,https://twitter.com/ClareONeilMP,,Hotham,VIC,(02) 6277 4907,(02) 6277 2347,401 Clayton Road,,Clayton,VIC,3168,(03) 9545 6211,(03) 9545 6299,PO Box 5295,Clayton,VIC,3168,"Shadow Minister for Innovation, Technology and the Future of Work"
Ms,Ms,MP,Owens,/images/mps/10503.jpg,Julie,,Julie.Owens.MP@aph.gov.au,http://www.facebook.com/julie.owens.mp,http://twitter.com/JulieOwensMP,,Parramatta,NSW,(02) 6277 4134,(02) 6277 8433,"Suite 1, 25 Smith Street",(entry via Macquarie Street),Parramatta,NSW,2150,(02) 9689 1455,(02) 9689 3813,PO Box 395,Parramatta,NSW,2124,Ê
Mr,Mr,MP,Pasin,/images/mps/10784.jpg,Antony,Tony,,https://www.facebook.com/pages/Tony-Pasin-Liberal-Candidate-for-Barker/250684105072363,,/Senators_and_Members/Contact_Senator_or_Member?MPID=240756,Barker,SA,(02) 6277 4864,(02) 6277 4865,27 Commercial Street,,Mt Gambier,SA,5290,(08) 8724 7730,(08) 8723 2230,27 Commercial Street,Mt Gambier,SA,5290,Ê
Ms,Ms,MP,Payne,/images/mps/10919.jpg,Alicia,Alicia,Alicia.Payne.MP@aph.gov.au,https://www.facebook.com/AliciaPayneforCanberra,,,Canberra,ACT,(02) 6277 4168,(02) 6277 8421,221 London Circuit,,Canberra,ACT,2601,(02) 6247 8475,,221 London Circuit,Canberra,ACT,2601,Ê
Mr,Mr,MP,Pearce,/images/mps/10918.jpg,Gavin,Gavin,Gavin.Pearce.MP@aph.gov.au,https://www.facebook.com/gavinpearcebraddon/,,,Braddon,TAS,(02) 6277 4432,(02) 6277 8472,2/32 Wilmot Street,,Burnie,TAS,7320,(03) 6431 1333,,PO Box 908,Burnie,TAS,7320,Ê
Mr,Mr,MP,Perrett,/images/mps/10512.jpg,Graham,,,https://www.facebook.com/GrahamPerrettMp,http://www.twitter.com/GrahamPerrettMP,,Moreton,QLD,(02) 6277 4542,(02) 6277 8419,"Suite 106, Sunnybank Times Square",250 McCullough Street,Sunnybank,QLD,4109,(07) 3344 2622,(07) 3344 4276,"PO Box 419, Sunnybank Plaza",Sunnybank,QLD,4109,Shadow Assistant Minister for Education and Training
Mrs,Mrs,MP,Phillips,/images/mps/10926.jpg,Fiona,Fiona,,,,,Gilmore,NSW,(02) 6277 4372,(02) 6277 8446,Unit 3,59 Junction Street,Nowra,NSW,2541,(02) 4423 1782,,PO Box 1009,Nowra,NSW,2541,Ê
Hon,Mr,MP,Pitt,/images/mps/10797.jpg,Keith,Keith,,https://www.facebook.com/KeithPittMP,,/Senators_and_Members/Contact_Senator_or_Member?MPID=148150,Hinkler,QLD,(02) 6277 7180,,41 Woongarra Street,,Bundaberg,QLD,4670,(07) 4152 0744,(07) 4153 1752,PO Box 535,Bundaberg,QLD,4670,"Minister for Resources, Water and Northern Australia"
Hon,Ms,MP,Plibersek,/images/mps/10513.jpg,Tanya,,,http://twitter.com/tanya_plibersek,,/Senators_and_Members/Contact_Senator_or_Member?MPID=83M,Sydney,NSW,(02) 6277 4404,(02) 6277 2212,1a Great Buckingham Street (cnr. Cleveland Street),Redfern,Sydney,NSW,2016,(02) 9379 0700,(02) 9379 0701,PO Box  2676,Strawberry Hills,NSW,2012,Shadow Minister for Education and Training
Hon,Mr,MP,Porter,/images/mps/10815.jpg,Charles,Christian,,http://www.facebook.com/christianportermp,https://twitter.com/cporterwa,/Senators_and_Members/Contact_Senator_or_Member?MPID=208884,Pearce,WA,(02) 6277 7300,,"Unit 3, 28 Main Street",,Ellenbrook,WA,6069,(08) 6296 7255,,PO Box 2226,Ellenbrook,WA,6069,Attorney-GeneralLeader of the HouseMinister for Industrial Relations
Hon,Ms,MP,Price,/images/mps/10818.jpg,Melissa,,Melissa.Price.MP@aph.gov.au,https://www.facebook.com/pages/Melissa-Price-Durack/146533948886081,https://twitter.com/Melissa4Durack,,Durack,WA,(02) 6277 7840,,2B/209 Foreshore Drive,,Geraldton,WA,6530,(08) 9964 2195,(08) 9921 7990,2B/209 Foreshore Drive,Geraldton,WA,6530,Minister for Defence Industry
Mr,Mr,MP,Ramsey,/images/mps/10529.jpg,Rowan,,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=HWS,Grey,SA,(02) 6277 4967,(02) 6277 8440,104 Ellen St,,Port Pirie,SA,5540,(08) 8633 1744,(08) 8633 1749,PO Box 296,Port Pirie,SA,5540,Ê
Hon,Ms,MP,Rishworth,/images/mps/10543.jpg,Amanda,,,http://www.facebook.com/rishworth,http://twitter.com/AmandaRishworth,/Senators_and_Members/Contact_Senator_or_Member?MPID=HWA,Kingston,SA,(02) 6277 2293,(02) 6277 8498,232 Main South Road,,Morphett Vale,SA,5162,(08) 8186 2588,(08) 8186 2688,232 Main South Road ,Morphett Vale,SA,5162,Shadow Minister for Early Childhood EducationShadow Minister for Youth
Hon,Mr,MP,Robert,/images/mps/10545.jpg,Stuart,,,,http://twitter.com/stuartrobertmp,/Senators_and_Members/Contact_Senator_or_Member?MPID=HWT,Fadden,QLD,(02) 6277 7200,,"Unit 1, 110 Brisbane Road",,Labrador,QLD,4215,(07) 5500 5919,(07) 5500 5484,PO Box 733,Biggera Waters,QLD,4216,Minister for the National Disability Insurance SchemeMinister for Government Services
Ms,Ms,MP,Rowland,/images/mps/10751.jpg,Michelle,Michelle,Michelle.Rowland.MP@aph.gov.au,http://www.facebook.com/mrowlandmp,http://twitter.com/MRowlandMP,,Greenway,NSW,(02) 6277 4833,(02) 6277 8586,Suite 101C,130 Main Street,Blacktown,NSW,2148,(02) 9671 4780,(02) 9671 5147,PO Box 8525,Blacktown,NSW,2148,Shadow Minister for Communications
Ms,Ms,MP,Ryan,/images/mps/10799.jpg,Joanne,Joanne,,https://www.facebook.com/JoanneRyanLalor,https://twitter.com/JoanneRyanLalor,/Senators_and_Members/Contact_Senator_or_Member?MPID=249224,Lalor,VIC,(02) 6277 4398,(02) 6277 2364,Tenancies 3 & 4,203-205 Watton Street,Werribee,VIC,3030,(03) 9742 5800,(03) 9741 6213,"Tenancies 3 & 4, 203-205 Watton Street",Werribee,VIC,3030,Ê
Ms,Ms,MP,Sharkie,/images/mps/10874.jpg,Rebekha,Rebekha,Rebekha.Sharkie.MP@aph.gov.au,https://facebook.com/makemayomatter,http://twitter.com/makemayomatter,,Mayo,SA,(02) 6277 2113,(02) 6277 8451,1/72 Gawler Street,,Mt Barker,SA,5251,(08) 8398 5566,,PO Box 1601,Mt Barker,SA,5251,Ê
Mr,Mr,MP,Sharma,/images/mps/10942.jpg,Devanand,Dave,Dave.Sharma.MP@aph.gov.au,,,,Wentworth,NSW,(02) 6277 4166,(02) 6277 8418,Ground Floor,287 New South Head Road,Edgecliff,NSW,2027,(02) 9327 3988,,PO Box 545,Edgecliff,NSW,2027,Ê
Hon,Mr,MP,Shorten,/images/mps/10580.jpg,William,Bill,Bill.Shorten.MP@aph.gov.au,http://www.facebook.com/BillShorten,http://twitter.com/billshortenmp,,Maribyrnong,VIC,(02) 6277 4167,(02) 6277 8420,"Suite 1A, 12 Hall Street",,Moonee Ponds,VIC,3039,(03) 9326 1300,(03) 9326 0611,PO Box 214,Moonee Ponds,VIC,3039,Shadow Minister for the National Disability Insurance SchemeShadow Minister for Government Services
Mr,Mr,MP,Simmonds,/images/mps/10938.jpg,Julian,Julian,,,,,Ryan,QLD,(02) 6277 4483,(02) 6277 8478,636 Moggill Road,,Chapel Hill ,QLD,4069,(07) 3378 1599,(07) 3378 1399,PO Box 704,Indooroopilly,QLD,4068,Ê
Hon,Mr,MP,Smith,/images/mps/10910.jpg,David,Tony,David.Smith.MP@aph.gov.au,,,,Bean,ACT,(02) 6277 4346,(02) 6277 8430,205 Anketell Street,,Tuggeranong,ACT,2900,(02) 6293 1344,,205 Anketell Street,Tuggeranong,ACT,2900,Ê
Mr,Mr,MP,Smith,/images/mps/10592.jpg,Anthony,David,Tony.Smith.MP@aph.gov.au,https://www.facebook.com/tonysmithmp,http://twitter.com/TonySmithMP,,Casey,VIC,(02) 6277 4000,(02) 6277 2050,Suite 11,1 East Ridge Drive,Chirnside Park,VIC,3116,(03) 9727 0799,,PO Box 40,Chirnside Park,VIC,3116,"Speaker, House of Representatives"
Hon,Mr,MP,Snowdon,/images/mps/10599.jpg,Warren,,Warren.Snowdon.MP@aph.gov.au,http://www.facebook.com/snowdonmp,,,Lingiari,NT,(02) 6277 4081,(02) 6277 2088,"Unit 3, 12 Gregory Terrace",,Alice Springs,NT,870,(08) 8952 9696,(08) 8952 5922,PO Box 4007,Alice Springs,NT,870,Shadow Assistant Minister for External TerritoriesShadow Assistant Minister for Northern AustraliaShadow Assistant Minister for Indigenous Australians
Ms,Ms,MP,Stanley,/images/mps/10895.jpg,Anne,Anne,Anne.Stanley.MP@aph.gov.au,http://www.facebook.com/anne.stanley.werriwa,http://www.twitter.com/annewerriwa,,Werriwa,NSW,(02) 6277 2103,(02) 6277 8446,"Shop 7, 441 Hoxton Park",,Hinchinbrook,NSW,2168,(02) 8783 0977,(02) 9825 0244,PO Box 88,Hoxton Park,NSW,2171,Ê
Ms,Ms,MP OAM,Steggall,/images/mps/10941.jpg,Zali,Zali,Zali.Steggall.MP@aph.gov.au,https://www.facebook.com/Zali4Warringah/,https://twitter.com/zalisteggall,,Warringah,NSW,(02) 6277 4373,(02) 6277 8447,Level 2,17-19 Sydney Road,Manly,NSW,2095,(02) 9977 6411,,PO Box 450,Manly,NSW,2095,Ê
Mr,Mr,MP,Stevens,/images/mps/10940.jpg,James,James,,,,,Sturt,SA,(02) 6277 4020,(02) 6277 8400,429 Magill Road,,St Morris,SA,5068,(08) 8431 2277,,429 Magill Road,St Morris,SA,5068,Ê
Hon,Mr,MP,Sukkar,/images/mps/10791.jpg,Michael,Michael,,https://www.facebook.com/Michael.Sukkar.MP,,/Senators_and_Members/Contact_Senator_or_Member?MPID=242515,Deakin,VIC,(02) 6277 7230,,5/602 Whitehorse Road,,Mitcham,VIC,3132,(03) 9874 1711,,PO Box 232,Mitcham,VIC,3132,Assistant TreasurerMinister for Housing
Ms,Ms,MP,Swanson,/images/mps/10876.jpg,Meryl,,Meryl.Swanson.MP@aph.gov.au,https://www.facebook.com/MerylSwanson, https://twitter.com/merylswanson,,Paterson,NSW,(02) 6277 4248,,35 Sturgeon Street,,Raymond Terrace,NSW,2324,(02) 4983 2401,,PO Box 156,Raymond Terrace,NSW,2324,Ê
Hon,Mr,MP,Taylor,/images/mps/10817.jpg,Angus,Angus,,https://www.facebook.com/Angustaylor4hume,https://twitter.com/angustaylormp,/Senators_and_Members/Contact_Senator_or_Member?MPID=231027,Hume,NSW,(02) 6277 7120,,18 Hill Street,,Camden,NSW,2570,(02) 4658 7188,(02) 4658 7222,PO Box 21,Camden,NSW,2570,Minister for Energy and Emissions Reduction
Hon,Mr,MP,Tehan,/images/mps/10742.jpg,Daniel,Dan,,https://www.facebook.com/pages/Dan-Tehan-MP/307339209323908,http://twitter.com/DanTehanWannon,/Senators_and_Members/Contact_Senator_or_Member?MPID=210911,Wannon,VIC,(02) 6277 7350,,190 Gray Street,,Hamilton,VIC,3300,(03) 5572 1100,(03) 5572 1141,190 Gray Street ,Hamilton,VIC,3300,Minister for Education
Ms,Ms,MP,Templeman,/images/mps/10873.jpg,Susan,Susan,,http://www.facebook.com/susan.templeman,http://www.twitter.com/stemplemanmp,,Macquarie,NSW,(02) 6277 4784,(02) 6277 8459,"Ground Floor, 299 George Street",,Windsor,NSW,2756,(02) 4573 8222,(02) 4573 8396,PO Box 855,Windsor,NSW,2756,Ê
Hon,Mr,MP,Thistlethwaite,/images/mps/10762.jpg,Matthew,Matt,Matt.Thistlethwaite.MP@aph.gov.au,https://www.facebook.com/ThistlethwaiteM,https://twitter.com/MThistlethwaite,,Kingsford Smith,NSW,(02) 6277 4840,(02) 6277 4969,Shop 6,205 Maroubra Road,Maroubra,NSW,2035,(02) 9349 6007,(02) 9349 8089,PO Box 895,Maroubra,NSW,2035,Shadow Assistant Minister for Financial ServicesShadow Assistant Minister for the Republic
Mr,Mr,OAM MP,Thompson,/images/mps/10927.jpg,Phillip,Phillip,Phillip.Thompson.MP@aph.gov.au,https://www.facebook.com/PhillipThompsonOAM,,,Herbert,QLD,(02) 6277 4418,(02) 6277 8471,Nathan Business Centre,Cnr Ross River Road  & Nathan Street,Cranbrook,QLD,4814,(07) 4725 2066,(07) 4725 2088,PO Box 226,Aitkenvale BC,QLD,4814,Ê
Ms,Ms,MP,Thwaites,/images/mps/10930.jpg,Kate,Kate,Kate.Thwaites.MP@aph.gov.au,https://www.facebook.com/KateThwaitesMP,https://twitter.com/ThwaitesKate,,Jagajaga,VIC,(02) 6277 4305,(02) 6277 8452,149 Burgundy Street,,Heidelberg,VIC,3084,(03) 9459 1411,(03) 9457 5721,PO Box 316,Heidelberg,VIC,3084,Ê
Hon,Mr,MP,Tudge,/images/mps/10748.jpg,Alan,Alan,,http://www.facebook.com/alantudgemp,http://twitter.com/AlanTudgeMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=M2Y,Aston,VIC,(02) 6277 7790,,"Suite 4, Level 1",420 Burwood Highway,Wantirna South,VIC,3152,(03) 9887 3890,(03) 9887 3893,"Suite 4, Level 1, 420 Burwood Highway",Wantirna South,VIC,3152,"Minister for Population, Cities and Urban Infrastructure"
Ms,Ms,MP,Vamvakinou,/images/mps/10649.jpg,Maria,,Maria.Vamvakinou.MP@aph.gov.au,http://en-gb.facebook.com/people/Maria-Vamvakinou-Mp/100000798112750,http://twitter.com/MariaVamvakinou,,Calwell,VIC,(02) 6277 4249,(02) 6277 8426,"Level 2, Office 1",14 Dimboola Road,Broadmeadows,VIC,3047,(03) 9367 5216,(03) 9367 3064,PO Box 3218,Broadmeadows,VIC,3218,Ê
Mr,Mr,MP,van Manen,/images/mps/10729.jpg,Albertus,Bert,,,http://twitter.com/bertvanmanen/,/Senators_and_Members/Contact_Senator_or_Member?MPID=188315,Forde,QLD,(02) 6277 4088,(02) 6277 8553,"Tenancy 1001F, first floor",114-118 George Street,Beenleigh,QLD,4207,(07) 3807 6340,(07) 3807 1990,PO Box 884,Beenleigh,QLD,4207,Ê
Mr,Mr,MP,Vasta,/images/mps/10651.jpg,Ross,Ross,,http://www.facebook.com/pages/Ross-Vasta/299861623376616,,/Senators_and_Members/Contact_Senator_or_Member?MPID=E0D,Bonner,QLD,(02) 6277 4632,(02) 6277 8535,69 Clara Street,,Wynnum,QLD,4178,(07) 3893 3488,(07) 3893 3422,69 Clara Street ,Wynnum,QLD,4178,Ê
Mr,Mr,MP,Wallace,/images/mps/10896.jpg,Andrew,Andrew,Andrew.Wallace.MP@aph.gov.au,https://www.facebook.com/wallace4fisher,,,Fisher,QLD,(02) 6277 4282,(02) 6277 8406,"'The Edge' Upper Level East, Unit 11",10 Lake Kawana Boulevard,Bokarina,QLD,4575,(07) 5493 5556,,PO Box 1224,Buddina,QLD,4575,Ê
Mr,Mr,MP,Watts,/images/mps/10794.jpg,Timothy,Tim,,https://www.facebook.com/TimWattsGellibrand,https://twitter.com/TimWattsMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=193430,Gellibrand,VIC,(02) 6277 4537,(02) 6277 2327,97 Geelong Road,,Footscray,VIC,3011,(03) 9687 7661,(03) 9687 7151,97 Geelong Road ,Footscray,VIC,3011,Shadow Assistant Minister for CommunicationsShadow Assistant Minister for Cyber Security
